finalWorth,personName,age,country,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country,economic_class,education,continent,industry_sector,year,decade,e_class
5.0,Michel Leclercq & family,83.0,France,Fashion & Retail,U,Male,1939-05-27 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1939.0,1930.0,Developed
4.2,Marc Ladreit de Lacharriere,82.0,France,Finance & Investments,U,Male,1940-11-06 00:00:00,2715.52,82.5,60.7,1,,Europe,Financials,1940.0,1940.0,Developed
4.1,Danielle Bellon & family,83.0,France,Service,U,Female,1940-02-08 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1940.0,1940.0,Developed
3.3,Mohed Altrad,75.0,France,Construction & Engineering,D,Male,1948-03-09 00:00:00,2715.52,82.5,60.7,1,,Europe,Energy & Industrials & Materials,1948.0,1940.0,Developed
3.1,Charles Edelstenne,85.0,France,Manufacturing,D,Male,1938-01-03 00:00:00,2715.52,82.5,60.7,1,,Europe,Energy & Industrials & Materials,1938.0,1930.0,Developed
3.0,Jean-Pierre Cayard,80.0,France,Food & Beverage,U,Male,1943-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1943.0,1940.0,Developed
3.0,Gilles Martin,59.0,France,Healthcare,D,Male,1963-10-20 00:00:00,2715.52,82.5,60.7,1,3.0,Europe,Service,1963.0,1960.0,Developed
2.8,Philip Niarchos,69.0,France,Diversified,E,Male,1954-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Diversified,1954.0,1950.0,Developed
2.6,Louis Le Duff,76.0,France,Food & Beverage,U,Male,1946-08-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1946.0,1940.0,Developed
2.4,Bernard Fraisse & family,66.0,France,Healthcare,E,Male,1956-08-10 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1956.0,1950.0,Developed
2.1,Martin Bouygues,,France,Construction & Engineering,Split Family Fortune,Male,,2715.52,82.5,60.7,1,,Europe,Energy & Industrials & Materials,,,Developed
2.1,Christian Latouche & family,82.0,France,Finance & Investments,D,Male,1940-07-18 00:00:00,2715.52,82.5,60.7,1,,Europe,Financials,1940.0,1940.0,Developed
1.7,Francois Feuillet & family,74.0,France,Automotive,D,Male,1949-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1949.0,1940.0,Developed
1.7,Alain Taravella,75.0,France,Real Estate,D,Male,1948-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Financials,1948.0,1940.0,Developed
1.6,Norbert Dentressangle,68.0,France,Logistics,D,Male,1954-07-09 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1954.0,1950.0,Developed
1.5,Philippe Ginestet & family,69.0,France,Fashion & Retail,D,Male,1954-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Consumer Discretionary & Staples,1954.0,1950.0,Developed
1.4,Ayman Hariri,44.0,France,Construction & Engineering,E,Male,1978-05-16 00:00:00,2715.52,82.5,60.7,1,3.0,Europe,Energy & Industrials & Materials,1978.0,1970.0,Developed
1.3,Yves-Loic Martin,57.0,France,Healthcare,D,Male,1966-01-01 00:00:00,2715.52,82.5,60.7,1,,Europe,Service,1966.0,1960.0,Developed
1.0,Edouard Carmignac,75.0,France,Finance & Investments,D,Male,1947-09-04 00:00:00,2715.52,82.5,60.7,1,,Europe,Financials,1947.0,1940.0,Developed
180.0,Elon Musk,51.0,United States,Automotive,D,Male,1971-06-28 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1971.0,1970.0,Developed
114.0,Jeff Bezos,59.0,United States,Technology,D,Male,1964-01-12 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1964.0,1960.0,Developed
107.0,Larry Ellison,78.0,United States,Technology,U,Male,1944-08-17 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Technology,1944.0,1940.0,Developed
106.0,Warren Buffett,92.0,United States,Finance & Investments,D,Male,1930-08-30 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1930.0,1930.0,Developed
104.0,Bill Gates,67.0,United States,Technology,D,Male,1955-10-28 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Technology,1955.0,1950.0,Developed
94.5,Michael Bloomberg,81.0,United States,Media & Entertainment,U,Male,1942-02-14 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Consumer Discretionary & Staples,1942.0,1940.0,Developed
80.7,Steve Ballmer,67.0,United States,Technology,D,Male,1956-03-24 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1956.0,1950.0,Developed
79.2,Larry Page,50.0,United States,Technology,D,Male,1973-03-26 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Technology,1973.0,1970.0,Developed
76.0,Sergey Brin,49.0,United States,Technology,D,Male,1973-08-21 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Technology,1973.0,1970.0,Developed
64.4,Mark Zuckerberg,38.0,United States,Technology,D,Male,1984-05-14 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Technology,1984.0,1980.0,Developed
59.0,Charles Koch & family,87.0,United States,Diversified,D,Male,1935-11-01 00:00:00,21427.7,78.5,36.6,1,,Americas,Diversified,1935.0,1930.0,Developed
59.0,Julia Koch & family,60.0,United States,Diversified,D,Female,1962-04-12 00:00:00,21427.7,78.5,36.6,1,,Americas,Diversified,1962.0,1960.0,Developed
58.8,Jim Walton,74.0,United States,Fashion & Retail,D,Male,1948-06-07 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1948.0,1940.0,Developed
57.6,Rob Walton & family,78.0,United States,Fashion & Retail,D,Male,1944-10-27 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1944.0,1940.0,Developed
56.7,Alice Walton,73.0,United States,Fashion & Retail,D,Female,1949-10-07 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1949.0,1940.0,Developed
50.1,Michael Dell,58.0,United States,Technology,D,Male,1965-02-23 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Technology,1965.0,1960.0,Developed
45.1,Phil Knight & family,85.0,United States,Fashion & Retail,D,Male,1938-02-24 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Consumer Discretionary & Staples,1938.0,1930.0,Developed
38.3,Jacqueline Mars,83.0,United States,Food & Beverage,U,Female,1939-10-10 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1939.0,1930.0,Developed
38.3,John Mars,87.0,United States,Food & Beverage,U,Male,1935-10-15 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1935.0,1930.0,Developed
35.0,Miriam Adelson & family,77.0,United States,Gambling & Casinos,U,Female,1945-10-10 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1945.0,1940.0,Developed
35.0,Ken Griffin,54.0,United States,Finance & Investments,U,Male,1968-10-15 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1968.0,1960.0,Developed
31.6,Alain Wertheimer,74.0,United States,Fashion & Retail,U,Male,1948-08-28 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1948.0,1940.0,Developed
31.6,Gerard Wertheimer,72.0,United States,Fashion & Retail,U,Male,1951-01-09 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1951.0,1950.0,Developed
28.5,Jeff Yass,64.0,United States,Finance & Investments,U,Male,1958-07-17 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1958.0,1950.0,Developed
28.1,Jim Simons,84.0,United States,Finance & Investments,D,Male,1938-04-25 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1938.0,1930.0,Developed
27.8,Stephen Schwarzman,76.0,United States,Finance & Investments,D,Male,1947-02-14 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1947.0,1940.0,Developed
25.3,Thomas Peterffy,78.0,United States,Finance & Investments,U,Male,1944-09-30 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Financials,1944.0,1940.0,Developed
24.4,MacKenzie Scott,52.0,United States,Technology,D,Female,1970-04-07 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1970.0,1970.0,Developed
21.6,Abigail Johnson,61.0,United States,Finance & Investments,U,Female,1961-12-19 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1961.0,1960.0,Developed
21.2,Lukas Walton,36.0,United States,Fashion & Retail,U,Male,1986-09-19 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1986.0,1980.0,Developed
21.1,Jensen Huang,60.0,United States,Technology,U,Male,1963-02-17 00:00:00,21427.7,78.5,36.6,1,,Americas,Technology,1963.0,1960.0,Developed
21.0,Leonard Lauder,90.0,United States,Fashion & Retail,D,Male,1933-03-19 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1933.0,1930.0,Developed
20.2,"Thomas Frist, Jr. & family",84.0,United States,Healthcare,D,Male,1938-08-12 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Service,1938.0,1930.0,Developed
19.1,Ray Dalio,73.0,United States,Finance & Investments,D,Male,1949-08-08 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1949.0,1940.0,Developed
18.5,Harold Hamm & family,77.0,United States,Energy,U,Male,1945-12-11 00:00:00,21427.7,78.5,36.6,1,1.0,Americas,Energy & Industrials & Materials,1945.0,1940.0,Developed
18.5,David Tepper,65.0,United States,Finance & Investments,U,Male,1957-09-11 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1957.0,1950.0,Developed
18.0,Daniel Gilbert,61.0,United States,Finance & Investments,D,Male,1962-01-17 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1962.0,1960.0,Developed
17.5,Steve Cohen,66.0,United States,Finance & Investments,U,Male,1956-06-11 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1956.0,1950.0,Developed
17.5,Carl Icahn,87.0,United States,Finance & Investments,U,Male,1936-02-16 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1936.0,1930.0,Developed
17.4,Donald Bren,90.0,United States,Real Estate,U,Male,1932-05-11 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1932.0,1930.0,Developed
17.4,"John Menard, Jr.",83.0,United States,Fashion & Retail,U,Male,1940-01-22 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1940.0,1940.0,Developed
17.1,Rupert Murdoch & family,92.0,United States,Media & Entertainment,D,Male,1931-03-11 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1931.0,1930.0,Developed
16.2,Eric Schmidt,67.0,United States,Technology,D,Male,1955-04-27 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1955.0,1950.0,Developed
15.5,Robert Pera,45.0,United States,Technology,U,Male,1978-03-10 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1978.0,1970.0,Developed
14.9,David Green & family,81.0,United States,Fashion & Retail,U,Male,1941-11-13 00:00:00,21427.7,78.5,36.6,1,1.0,Americas,Consumer Discretionary & Staples,1941.0,1940.0,Developed
13.7,Diane Hendricks,76.0,United States,Construction & Engineering,U,Female,1947-03-02 00:00:00,21427.7,78.5,36.6,1,1.0,Americas,Energy & Industrials & Materials,1947.0,1940.0,Developed
13.7,Jan Koum,47.0,United States,Technology,U,Male,1976-02-24 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Technology,1976.0,1970.0,Developed
13.3,Jerry Jones,80.0,United States,Sports,U,Male,1942-10-13 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1942.0,1940.0,Developed
13.3,George Kaiser,80.0,United States,Energy,U,Male,1942-07-29 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Energy & Industrials & Materials,1942.0,1940.0,Developed
12.9,Stanley Kroenke,75.0,United States,Sports,U,Male,1947-07-29 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Consumer Discretionary & Staples,1947.0,1940.0,Developed
12.1,Shahid Khan,72.0,United States,Automotive,U,Male,1950-07-18 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1950.0,1950.0,Developed
12.0,Laurene Powell Jobs & family,59.0,United States,Technology,D,Female,1963-11-06 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Technology,1963.0,1960.0,Developed
11.6,Stephen Ross,82.0,United States,Real Estate,U,Male,1940-05-10 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1940.0,1940.0,Developed
11.4,Michael Rubin,50.0,United States,Fashion & Retail,U,Male,1972-07-21 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Consumer Discretionary & Staples,1972.0,1970.0,Developed
11.3,Israel Englander,74.0,United States,Finance & Investments,D,Male,1948-09-30 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1948.0,1940.0,Developed
10.9,Philip Anschutz,83.0,United States,Finance & Investments,E,Male,1939-12-28 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1939.0,1930.0,Developed
10.9,Judy Love & family,85.0,United States,Fashion & Retail,U,Female,1937-06-17 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1937.0,1930.0,Developed
10.7,Donald Newhouse,93.0,United States,Media & Entertainment,D,Male,1929-08-05 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Consumer Discretionary & Staples,1929.0,1920.0,Developed
10.6,Robert Kraft,81.0,United States,Sports,U,Male,1941-06-05 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1941.0,1940.0,Developed
10.3,Andrew Beal,70.0,United States,Finance & Investments,U,Male,1952-11-29 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Financials,1952.0,1950.0,Developed
10.2,Carl Cook,60.0,United States,Healthcare,D,Male,1962-08-19 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Service,1962.0,1960.0,Developed
10.2,David Duffield,82.0,United States,Technology,D,Male,1940-09-21 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1940.0,1940.0,Developed
10.2,Jeffery Hildebrand,64.0,United States,Energy,U,Male,1959-03-05 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Energy & Industrials & Materials,1959.0,1950.0,Developed
10.2,Christy Walton,74.0,United States,Fashion & Retail,U,Female,1949-02-08 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1949.0,1940.0,Developed
10.0,Autry Stephens,85.0,United States,Energy,U,Male,1938-03-08 00:00:00,21427.7,78.5,36.6,1,,Americas,Energy & Industrials & Materials,1938.0,1930.0,Developed
9.6,Rick Cohen & family,70.0,United States,Technology,N,Male,1952-07-25 00:00:00,21427.7,78.5,36.6,1,,Americas,Technology,1952.0,1950.0,Developed
9.6,Marijke Mars,58.0,United States,Food & Beverage,U,Female,1964-07-28 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1964.0,1960.0,Developed
9.6,Pamela Mars,62.0,United States,Food & Beverage,U,Female,1960-08-01 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1960.0,1960.0,Developed
9.6,Valerie Mars,64.0,United States,Food & Beverage,U,Female,1959-01-26 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Consumer Discretionary & Staples,1959.0,1950.0,Developed
9.6,Victoria Mars,66.0,United States,Food & Beverage,U,Female,1956-12-15 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Consumer Discretionary & Staples,1956.0,1950.0,Developed
9.3,Brian Chesky,41.0,United States,Technology,D,Male,1981-08-29 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1981.0,1980.0,Developed
9.2,John Malone,82.0,United States,Media & Entertainment,U,Male,1941-03-07 00:00:00,21427.7,78.5,36.6,1,5.0,Americas,Consumer Discretionary & Staples,1941.0,1940.0,Developed
9.2,Charles Schwab,85.0,United States,Finance & Investments,D,Male,1937-07-29 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1937.0,1930.0,Developed
9.2,Eric Smidt,63.0,United States,Fashion & Retail,U,Male,1960-01-01 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1960.0,1960.0,Developed
9.0,David Cheriton,72.0,United States,Technology,D,Male,1951-03-29 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1951.0,1950.0,Developed
8.8,John Doerr,71.0,United States,Technology,D,Male,1951-06-29 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Technology,1951.0,1950.0,Developed
8.8,Dustin Moskovitz,38.0,United States,Technology,D,Male,1984-05-22 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Technology,1984.0,1980.0,Developed
8.8,Pierre Omidyar,55.0,United States,Technology,D,Male,1967-06-21 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1967.0,1960.0,Developed
8.6,Leon Black,71.0,United States,Finance & Investments,D,Male,1951-07-31 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1951.0,1950.0,Developed
8.6,Andreas von Bechtolsheim & family,67.0,United States,Technology,D,Male,1955-09-30 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Technology,1955.0,1950.0,Developed
8.5,"Chase Coleman, III.",47.0,United States,Finance & Investments,D,Male,1975-06-21 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1975.0,1970.0,Developed
8.5,Ann Walton Kroenke,74.0,United States,Fashion & Retail,D,Female,1948-12-18 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1948.0,1940.0,Developed
8.4,Jim Kennedy,75.0,United States,Media & Entertainment,U,Male,1947-11-29 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1947.0,1940.0,Developed
8.3,John Morris,75.0,United States,Fashion & Retail,U,Male,1948-03-19 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1948.0,1940.0,Developed
8.2,George Roberts,79.0,United States,Finance & Investments,U,Male,1943-09-14 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1943.0,1940.0,Developed
8.1,Tilman Fertitta,65.0,United States,Food & Beverage,U,Male,1957-06-25 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Consumer Discretionary & Staples,1957.0,1950.0,Developed
8.0,Nathan Blecharczyk,39.0,United States,Technology,D,Male,1983-06-11 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1983.0,1980.0,Developed
8.0,Bernard Marcus,93.0,United States,Fashion & Retail,D,Male,1929-05-12 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1929.0,1920.0,Developed
8.0,Patrick Ryan,85.0,United States,Finance & Investments,E,Male,1937-05-15 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1937.0,1930.0,Developed
8.0,Robert F. Smith,60.0,United States,Finance & Investments,U,Male,1962-12-01 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1962.0,1960.0,Developed
7.9,Orlando Bravo,52.0,United States,Finance & Investments,U,Male,1970-09-23 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1970.0,1970.0,Developed
7.9,Nancy Walton Laurie,71.0,United States,Fashion & Retail,D,Female,1951-05-15 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1951.0,1950.0,Developed
7.9,Ramzi Musallam,54.0,United States,Finance & Investments,U,Male,1968-09-17 00:00:00,21427.7,78.5,36.6,1,,Americas,Financials,1968.0,1960.0,Developed
7.9,David Shaw,72.0,United States,Finance & Investments,U,Male,1951-03-29 00:00:00,21427.7,78.5,36.6,1,5.0,Americas,Financials,1951.0,1950.0,Developed
7.8,Rocco Commisso,73.0,United States,Telecom,U,Male,1949-11-25 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1949.0,1940.0,Developed
7.7,David Geffen,80.0,United States,Media & Entertainment,D,Male,1943-02-21 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Consumer Discretionary & Staples,1943.0,1940.0,Developed
7.7,Henry Samueli,68.0,United States,Technology,U,Male,1954-09-20 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1954.0,1950.0,Developed
7.7,Reinhold Schmieding,68.0,United States,Healthcare,U,Male,1955-01-03 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Service,1955.0,1950.0,Developed
7.6,Joe Gebbia,41.0,United States,Technology,D,Male,1981-08-21 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1981.0,1980.0,Developed
7.6,Leonard Stern,85.0,United States,Real Estate,U,Male,1938-03-28 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1938.0,1930.0,Developed
7.5,Arthur Blank,80.0,United States,Sports,U,Male,1942-09-27 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1942.0,1940.0,Developed
7.5,Charles Butt,85.0,United States,Fashion & Retail,R,Male,1938-02-03 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1938.0,1930.0,Developed
7.5,"Paul Tudor Jones, II.",68.0,United States,Finance & Investments,U,Male,1954-09-28 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1954.0,1950.0,Developed
7.5,Henry Kravis,79.0,United States,Finance & Investments,D,Male,1944-01-06 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1944.0,1940.0,Developed
7.4,James Goodnight,80.0,United States,Technology,U,Male,1943-01-06 04:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1943.0,1940.0,Developed
7.4,Steven Rales,72.0,United States,Manufacturing,D,Male,1951-03-31 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Energy & Industrials & Materials,1951.0,1950.0,Developed
7.4,Harry Stine,81.0,United States,Food & Beverage,U,Male,1941-11-30 00:00:00,21427.7,78.5,36.6,1,,Americas,Consumer Discretionary & Staples,1941.0,1940.0,Developed
7.2,Arthur Dantchik,65.0,United States,Finance & Investments,N,Male,1957-11-25 00:00:00,21427.7,78.5,36.6,1,,Americas,Financials,1957.0,1950.0,Developed
7.2,Jeff Greene,68.0,United States,Real Estate,U,Male,1954-12-10 00:00:00,21427.7,78.5,36.6,1,4.0,Americas,Financials,1954.0,1950.0,Developed
7.2,Don Hankey,79.0,United States,Finance & Investments,U,Male,1943-06-13 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Financials,1943.0,1940.0,Developed
7.2,Richard Kinder,78.0,United States,Energy,D,Male,1944-10-19 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Energy & Industrials & Materials,1944.0,1940.0,Developed
7.1,Judy Faulkner,79.0,United States,Technology,U,Female,1943-08-01 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1943.0,1940.0,Developed
7.1,Tamara Gustavson,61.0,United States,Service,D,Female,1961-11-16 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Service,1961.0,1960.0,Developed
7.0,Marc Benioff,58.0,United States,Technology,D,Male,1964-09-25 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1964.0,1960.0,Developed
7.0,Jack Dangermond,77.0,United States,Technology,U,Male,1945-07-23 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Technology,1945.0,1940.0,Developed
7.0,Ralph Lauren,83.0,United States,Fashion & Retail,U,Male,1939-10-14 00:00:00,21427.7,78.5,36.6,1,2.0,Americas,Consumer Discretionary & Staples,1939.0,1930.0,Developed
7.0,J. Christopher Reyes,69.0,United States,Food & Beverage,D,Male,1953-12-29 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1953.0,1950.0,Developed
7.0,Jude Reyes,67.0,United States,Food & Beverage,D,Male,1955-09-16 00:00:00,21427.7,78.5,36.6,1,3.0,Americas,Consumer Discretionary & Staples,1955.0,1950.0,Developed
7.0,Don Vultaggio & family,71.0,United States,Food & Beverage,U,Male,1952-02-26 00:00:00,21427.7,78.5,36.6,1,1.0,Americas,Consumer Discretionary & Staples,1952.0,1950.0,Developed
6.9,Edythe Broad & family,87.0,United States,Diversified,E,Female,1936-01-01 00:00:00,21427.7,78.5,36.6,1,,Americas,Diversified,1936.0,1930.0,Developed
