rank,finalWorth,category,personName,age,country,source,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country
15,68000,Food & Beverage,Zhong Shanshan,68,China,"Beverages, pharmaceuticals",Food & Beverage,U,M,12/1/1954 0:00,"$19,910,000,000,000.00",77,59.2
16,64400,Technology,Mark Zuckerberg,38,United States,Facebook,Technology,D,M,5/14/1984 0:00,"$21,427,700,000,000.00",78.5,36.6
17,59000,Diversified,Charles Koch & family,87,United States,Koch Industries,Diversified,D,M,11/1/1935 0:00,"$21,427,700,000,000.00",78.5,36.6
17,59000,Diversified,Julia Koch & family,60,United States,Koch Industries,Diversified,D,F,4/12/1962 0:00,"$21,427,700,000,000.00",78.5,36.6
19,58800,Fashion & Retail,Jim Walton,74,United States,Walmart,Fashion & Retail,D,M,6/7/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
20,57600,Fashion & Retail,Rob Walton & family,78,United States,Walmart,Fashion & Retail,D,M,10/27/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
21,56700,Fashion & Retail,Alice Walton,73,United States,Walmart,Fashion & Retail,D,F,10/7/1949 0:00,"$21,427,700,000,000.00",78.5,36.6
22,54400,Media & Entertainment,David Thomson & family,65,Canada,Media,Media & Entertainment,U,M,6/12/1957 0:00,"$1,736,425,629,520.00",81.9,24.5
23,50100,Technology,Michael Dell,58,United States,Dell Technologies,Technology,D,M,2/23/1965 0:00,"$21,427,700,000,000.00",78.5,36.6
24,47200,Diversified,Gautam Adani,60,India,"Infrastructure, commodities",Diversified,D,M,6/24/1962 0:00,"$2,611,000,000,000.00",69.4,49.7
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Nike,Fashion & Retail,D,M,2/24/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
26,45000,Technology,Zhang Yiming,39,China,TikTok,Technology,D,M,1/1/1984 0:00,"$19,910,000,000,000.00",77,59.2
27,42900,Fashion & Retail,Dieter Schwarz,83,Germany,Retail,Fashion & Retail,D,M,9/24/1939 0:00,"$3,845,630,030,824.00",80.9,48.8
28,40100,Fashion & Retail,François Pinault & family,86,France,Luxury goods,Fashion & Retail,D,M,8/21/1936 0:00,"$2,715,518,274,227.00",82.5,60.7
29,39100,Logistics,Klaus-Michael Kuehne,85,Switzerland,Shipping,Logistics,U,M,6/2/1937 0:00,"$703,082,435,360.00",83.6,28.8
30,38900,Food & Beverage,Giovanni Ferrero,58,Belgium,"Nutella, chocolates",Food & Beverage,U,M,9/21/1964 0:00,"$529,606,710,418.00",81.6,55.4
31,38300,Food & Beverage,Jacqueline Mars,83,United States,"Candy, pet food",Food & Beverage,U,F,10/10/1939 0:00,"$21,427,700,000,000.00",78.5,36.6
31,38300,Food & Beverage,John Mars,87,United States,"Candy, pet food",Food & Beverage,U,M,10/15/1935 0:00,"$21,427,700,000,000.00",78.5,36.6
33,38000,Diversified,Li Ka-shing,94,Hong Kong,Diversified,Diversified,U,M,6/13/1928 0:00,,,
34,35300,Technology,Ma Huateng,51,China,Internet media,Technology,D,M,10/29/1971 0:00,"$19,910,000,000,000.00",77,59.2
35,35000,Gambling & Casinos,Miriam Adelson & family,77,United States,Casinos,Gambling & Casinos,U,F,10/10/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
35,35000,Finance & Investments,Ken Griffin,54,United States,Hedge funds,Finance & Investments,U,M,10/15/1968 0:00,"$21,427,700,000,000.00",78.5,36.6
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,Red Bull,Food & Beverage,N,M,5/7/1992 0:00,"$446,314,739,528.00",81.6,51.4
38,33400,Automotive,Robin Zeng,54,China,Batteries,Automotive,D,M,1/1/1969 0:00,"$19,910,000,000,000.00",77,59.2
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Fashion retail,Fashion & Retail,U,M,2/7/1949 0:00,"$5,081,769,542,380.00",84.2,46.7
40,32100,Diversified,Len Blavatnik,65,United Kingdom,"Music, chemicals",Diversified,D,M,6/1/1957 0:00,"$2,827,113,184,696.00",81.3,30.6
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,Chanel,Fashion & Retail,U,M,8/28/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,Chanel,Fashion & Retail,U,M,1/9/1951 0:00,"$21,427,700,000,000.00",78.5,36.6
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Shipping,Logistics,Split Family Fortune,M,6/27/1940 0:00,"$703,082,435,360.00",83.6,28.8
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Shipping,Logistics,Split Family Fortune,F,3/26/1945 0:00,"$703,082,435,360.00",83.6,28.8
45,30200,Technology,Colin Zheng Huang,43,China,E-commerce,Technology,U,M,2/2/1980 0:00,"$19,910,000,000,000.00",77,59.2
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Fasteners,Manufacturing,U,M,4/20/1935 0:00,"$3,845,630,030,824.00",80.9,48.8
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Real estate,Real Estate,D,M,1/29/1928 0:00,,,
48,28500,Finance & Investments,Jeff Yass,64,United States,"Trading, investments",Finance & Investments,U,M,7/17/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
49,28100,Finance & Investments,Jim Simons,84,United States,Hedge funds,Finance & Investments,D,M,4/25/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,Investments,Finance & Investments,D,M,2/14/1947 0:00,"$21,427,700,000,000.00",78.5,36.6
51,27400,Automotive,Susanne Klatten,60,Germany,"BMW, pharmaceuticals",Automotive,U,F,4/28/1962 0:00,"$3,845,630,030,824.00",80.9,48.8
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Mining,Metals & Mining,D,F,2/9/1954 0:00,"$1,392,680,589,329.00",82.7,47.4
53,26700,Technology,William Ding,51,China,Online games,Technology,U,M,10/1/1971 0:00,"$19,910,000,000,000.00",77,59.2
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mining,Metals & Mining,D,M,10/26/1953 0:00,"$1,258,286,717,125.00",75,55.1
55,25600,Technology,Shiv Nadar,77,India,software services,Technology,D,M,7/18/1945 0:00,"$2,611,000,000,000.00",69.4,49.7
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Coal,Energy,U,M,4/17/1948 0:00,"$1,119,190,780,753.00",71.5,30.1
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Discount brokerage,Finance & Investments,U,M,9/30/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,"Fertilizers, coal",Metals & Mining,U,M,3/8/1972 0:00,"$421,142,267,938.00",77.8,15.9
59,24600,Automotive,Stefan Quandt,56,Germany,BMW,Automotive,U,M,5/9/1966 0:00,"$3,845,630,030,824.00",80.9,48.8
60,24400,Technology,MacKenzie Scott,52,United States,Amazon,Technology,D,F,4/7/1970 0:00,"$21,427,700,000,000.00",78.5,36.6
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,"Banking, tobacco",Finance & Investments,U,M,1/1/1941 0:00,"$1,119,190,780,753.00",71.5,30.1
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Metals,Metals & Mining,U,M,1/3/1961 0:00,"$1,699,876,578,871.00",72.7,46.2
63,23500,Technology,Jack Ma,58,China,E-commerce,Technology,U,M,9/10/1964 0:00,"$19,910,000,000,000.00",77,59.2
64,23400,Manufacturing,He Xiangjian & family,80,China,Home appliances,Manufacturing,D,M,8/11/1942 0:00,"$19,910,000,000,000.00",77,59.2
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Mining,Metals & Mining,U,F,1/1/1943 0:00,"$282,318,159,745.00",80,34
65,23100,Manufacturing,Michael Hartono,83,Indonesia,"Banking, tobacco",Manufacturing,U,M,10/2/1939 0:00,"$1,119,190,780,753.00",71.5,30.1
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,Chemicals,Manufacturing,U,M,1/1/1953 0:00,"$2,827,113,184,696.00",81.3,30.6
68,22600,Healthcare,Cyrus Poonawalla,81,India,Vaccines,Healthcare,D,M,5/11/1941 0:00,"$2,611,000,000,000.00",69.4,49.7
69,22400,Telecom,Masayoshi Son,65,Japan,"Internet, telecom",Telecom,U,M,8/11/1957 0:00,"$5,081,769,542,380.00",84.2,46.7
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,"Steel, transport",Metals & Mining,U,M,5/7/1956 0:00,"$1,699,876,578,871.00",72.7,46.2
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Cheese,Food & Beverage,D,M,9/18/1970 0:00,"$2,715,518,274,227.00",82.5,60.7
72,21600,Finance & Investments,Abigail Johnson,61,United States,Fidelity,Finance & Investments,U,F,12/19/1961 0:00,"$21,427,700,000,000.00",78.5,36.6
72,21600,Energy,Leonid Mikhelson & family,67,Russia,"Gas, chemicals",Energy,U,M,8/11/1955 0:00,"$1,699,876,578,871.00",72.7,46.2
74,21200,Fashion & Retail,Lukas Walton,36,United States,Walmart,Fashion & Retail,U,M,9/19/1986 0:00,"$21,427,700,000,000.00",78.5,36.6
74,21200,Service,Wang Wei,52,China,Package delivery,Service,D,M,10/1/1970 0:00,"$19,910,000,000,000.00",77,59.2
76,21100,Technology,Jensen Huang,60,United States,Semiconductors,Technology,U,M,2/17/1963 0:00,"$21,427,700,000,000.00",78.5,36.6
77,21000,Fashion & Retail,Leonard Lauder,90,United States,Estee Lauder,Fashion & Retail,D,M,3/19/1933 0:00,"$21,427,700,000,000.00",78.5,36.6
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,Sensors,Manufacturing,D,M,6/10/1945 0:00,"$5,081,769,542,380.00",84.2,46.7
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,"Steel, investments",Metals & Mining,U,M,9/26/1965 0:00,"$1,699,876,578,871.00",72.7,46.2
80,20500,Energy,Vagit Alekperov,72,Russia,Oil,Energy,U,M,9/1/1950 0:00,"$1,699,876,578,871.00",72.7,46.2
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Hospitals,Healthcare,D,M,8/12/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Mining,Metals & Mining,U,M,11/18/1961 0:00,"$1,392,680,589,329.00",82.7,47.4
83,19100,Finance & Investments,Ray Dalio,73,United States,Hedge funds,Finance & Investments,D,M,8/8/1949 0:00,"$21,427,700,000,000.00",78.5,36.6
84,19000,Automotive,Eric Li,59,China,Automobiles,Automotive,D,M,6/1/1963 0:00,"$19,910,000,000,000.00",77,59.2
84,19000,Metals & Mining,Wang Wenyin,55,China,"Mining, copper products",Metals & Mining,U,M,3/1/1968 0:00,"$19,910,000,000,000.00",77,59.2
86,18900,Diversified,Eyal Ofer,72,Monaco,"Real estate, shipping",Diversified,U,M,6/2/1950 0:00,"$7,184,844,193.00",,
86,18900,Food & Beverage,Qin Yinglin,57,China,Pig breeding,Food & Beverage,D,M,4/17/1965 0:00,"$19,910,000,000,000.00",77,59.2
88,18700,Automotive,Wang Chuanfu,57,China,"Batteries, automobiles",Automotive,D,M,2/15/1966 0:00,"$19,910,000,000,000.00",77,59.2
89,18500,Energy,Harold Hamm & family,77,United States,Oil & gas,Energy,U,M,12/11/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
89,18500,Finance & Investments,David Tepper,65,United States,Hedge funds,Finance & Investments,U,M,9/11/1957 0:00,"$21,427,700,000,000.00",78.5,36.6
89,18500,Energy,Gennady Timchenko,70,Russia,"Oil, gas",Energy,U,M,11/9/1952 0:00,"$1,699,876,578,871.00",72.7,46.2
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Quicken Loans,Finance & Investments,D,M,1/17/1962 0:00,"$21,427,700,000,000.00",78.5,36.6
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,Steel,Metals & Mining,D,M,6/15/1950 0:00,"$2,827,113,184,696.00",81.3,30.6
94,17500,Finance & Investments,Steve Cohen,66,United States,Hedge funds,Finance & Investments,U,M,6/11/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
94,17500,Finance & Investments,Carl Icahn,87,United States,Investments,Finance & Investments,U,M,2/16/1936 0:00,"$21,427,700,000,000.00",78.5,36.6
94,17500,Metals & Mining,Savitri Jindal & family,73,India,Steel,Metals & Mining,D,F,3/20/1950 0:00,"$2,611,000,000,000.00",69.4,49.7
97,17400,Real Estate,Donald Bren,90,United States,Real estate,Real Estate,U,M,5/11/1932 0:00,"$21,427,700,000,000.00",78.5,36.6
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,Home improvement stores,Fashion & Retail,U,M,1/22/1940 0:00,"$21,427,700,000,000.00",78.5,36.6
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,"Newspapers, TV network",Media & Entertainment,D,M,3/11/1931 0:00,"$21,427,700,000,000.00",78.5,36.6
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Banking,Finance & Investments,U,F,1/1/1953 0:00,"$703,082,435,360.00",83.6,28.8
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,"Aldi, Trader Joe's",Fashion & Retail,D,M,1/1/1951 0:00,"$3,845,630,030,824.00",80.9,48.8
101,16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,"Finance, telecommunications",Finance & Investments,D,F,7/4/1967 0:00,"$246,489,245,495.00",79,46.1
103,16300,Healthcare,Li Xiting,72,China,medical devices,Healthcare,D,M,1/1/1951 0:00,"$19,910,000,000,000.00",77,59.2
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,H&M,Fashion & Retail,D,M,10/4/1947 0:00,"$530,832,908,738.00",82.5,49.1
104,16200,Technology,Eric Schmidt,67,United States,Google,Technology,D,M,4/27/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Hedge funds,Finance & Investments,U,M,3/18/1968 0:00,"$703,082,435,360.00",83.6,28.8
107,15900,Food & Beverage,Pang Kang,67,China,Soy sauce,Food & Beverage,D,M,1/19/1956 0:00,"$19,910,000,000,000.00",77,59.2
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,Supermarkets,Fashion & Retail,Split Family Fortune,M,,"$3,845,630,030,824.00",80.9,48.8
108,15800,Fashion & Retail,Beate Heister,,,Supermarkets,Fashion & Retail,Split Family Fortune,F,,,,
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Beer,Food & Beverage,U,M,8/26/1939 0:00,"$703,082,435,360.00",83.6,28.8
108,15800,Real Estate,Peter Woo,76,Hong Kong,Real estate,Real Estate,D,M,9/5/1946 0:00,,,
112,15600,Healthcare,Dilip Shanghvi,67,India,Pharmaceuticals,Healthcare,E,M,10/1/1955 0:00,"$2,611,000,000,000.00",69.4,49.7
113,15500,Technology,Robert Pera,45,United States,Wireless networking,Technology,U,M,3/10/1978 0:00,"$21,427,700,000,000.00",78.5,36.6
114,15300,Fashion & Retail,Radhakishan Damani,68,India,"Retail, investments",Fashion & Retail,D,M,1/1/1955 0:00,"$2,611,000,000,000.00",69.4,49.7
115,15200,Automotive,Huang Shilin,56,China,Batteries,Automotive,D,M,1/1/1967 0:00,"$19,910,000,000,000.00",77,59.2
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,Diversified,Diversified,U,M,4/19/1939 0:00,"$543,649,976,166.00",76.9,29.5
116,14900,Fashion & Retail,David Green & family,81,United States,Retail,Fashion & Retail,U,M,11/13/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,"Alcohol, real estate",Food & Beverage,U,M,5/2/1944 0:00,"$543,649,976,166.00",76.9,29.5
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,Heineken,Food & Beverage,D,F,6/30/1954 0:00,"$2,827,113,184,696.00",81.3,30.6
120,14600,Healthcare,Xu Hang,60,China,Medical devices,Healthcare,D,M,5/22/1962 0:00,"$19,910,000,000,000.00",77,59.2
121,14500,Automotive,Wei Jianjun & family,59,China,Automobiles,Automotive,D,M,3/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
122,14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,"Steel, telecom, investments",Metals & Mining,U,M,9/9/1953 0:00,"$57,921,286,440.00",71.6,31.6
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,Paints,Manufacturing,U,M,6/27/1927 0:00,"$372,062,527,489.00",83.1,21
124,14200,Diversified,Kumar Birla,55,India,Commodities,Diversified,D,M,6/14/1967 0:00,"$2,611,000,000,000.00",69.4,49.7
124,14200,Manufacturing,Aliko Dangote,65,Nigeria,"Cement, sugar",Manufacturing,U,M,4/10/1957 0:00,"$448,120,428,859.00",54.3,34.8
126,14100,Real Estate,Kwong Siu-hing,93,Hong Kong,Real estate,Real Estate,U,F,12/2/1929 0:00,,,
127,14000,Diversified,Idan Ofer,67,United Kingdom,Shipping,Diversified,U,M,10/2/1955 0:00,"$2,827,113,184,696.00",81.3,30.6
128,13900,Healthcare,Chen Bang,57,China,Hospitals,Healthcare,U,M,9/1/1965 0:00,"$19,910,000,000,000.00",77,59.2
128,13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,Casinos/hotels,Gambling & Casinos,U,M,4/1/1929 0:00,,,
130,13700,Logistics,John Fredriksen,78,United Kingdom,Shipping,Logistics,U,M,2/1/1945 0:00,"$2,827,113,184,696.00",81.3,30.6
130,13700,Construction & Engineering,Diane Hendricks,76,United States,Building supplies,Construction & Engineering,U,F,3/2/1947 0:00,"$21,427,700,000,000.00",78.5,36.6
130,13700,Technology,Jan Koum,47,United States,WhatsApp,Technology,U,M,2/24/1976 0:00,"$21,427,700,000,000.00",78.5,36.6
133,13300,Sports,Jerry Jones,80,United States,Dallas Cowboys,Sports,U,M,10/13/1942 0:00,"$21,427,700,000,000.00",78.5,36.6
133,13300,Energy,George Kaiser,80,United States,"Oil & gas, banking",Energy,U,M,7/29/1942 0:00,"$21,427,700,000,000.00",78.5,36.6
133,13300,Real Estate,Joseph Lau,71,Hong Kong,Real estate,Real Estate,D,M,7/21/1951 0:00,,,
136,13200,Automotive,Lu Xiangyang,60,China,"Automobiles, batteries",Automotive,D,M,12/28/1962 0:00,"$19,910,000,000,000.00",77,59.2
137,13100,Real Estate,Harry Triguboff,90,Australia,Real estate,Real Estate,U,M,3/3/1933 0:00,"$1,392,680,589,329.00",82.7,47.4
138,12900,Finance & Investments,Uday Kotak,64,India,Banking,Finance & Investments,D,M,3/15/1959 0:00,"$2,611,000,000,000.00",69.4,49.7
138,12900,Sports,Stanley Kroenke,75,United States,"Sports, real estate",Sports,U,M,7/29/1947 0:00,"$21,427,700,000,000.00",78.5,36.6
140,12600,Energy,Mikhail Fridman,58,United Kingdom,"Oil, banking, telecom",Energy,U,M,4/21/1964 0:00,"$2,827,113,184,696.00",81.3,30.6
141,12300,Energy,Sarath Ratanavadi,57,Thailand,Energy,Energy,U,M,7/12/1965 0:00,"$543,649,976,166.00",76.9,29.5
142,12200,Metals & Mining,Dang Yanbao,50,China,Coal,Metals & Mining,D,M,2/1/1973 0:00,"$19,910,000,000,000.00",77,59.2
142,12200,Healthcare,Jiang Rensheng & family,69,China,Vaccines,Healthcare,D,M,10/8/1953 0:00,"$19,910,000,000,000.00",77,59.2
144,12100,Automotive,Shahid Khan,72,United States,Auto parts,Automotive,U,M,7/18/1950 0:00,"$21,427,700,000,000.00",78.5,36.6
145,12000,Technology,Laurene Powell Jobs & family,59,United States,"Apple, Disney",Technology,D,F,11/6/1963 0:00,"$21,427,700,000,000.00",78.5,36.6
146,11800,Diversified,Robert Kuok,99,Hong Kong,"Palm oil, shipping, property",Diversified,U,M,10/6/1923 0:00,,,
147,11600,Real Estate,Stephen Ross,82,United States,Real estate,Real Estate,U,M,5/10/1940 0:00,"$21,427,700,000,000.00",78.5,36.6
148,11500,Technology,Pavel Durov,38,United Arab Emirates,Messaging app,Technology,D,M,10/10/1984 0:00,"$421,142,267,938.00",77.8,15.9
148,11500,Healthcare,Andreas Struengmann & family,73,Germany,Pharmaceuticals,Healthcare,D,M,2/16/1950 0:00,"$3,845,630,030,824.00",80.9,48.8
148,11500,Healthcare,Thomas Struengmann & family,73,Germany,Pharmaceuticals,Healthcare,D,M,2/16/1950 0:00,"$3,845,630,030,824.00",80.9,48.8
151,11400,Food & Beverage,Liu Hanyuan,59,China,Agribusiness,Food & Beverage,D,M,1/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
151,11400,Fashion & Retail,Michael Rubin,50,United States,Online retail,Fashion & Retail,U,M,7/21/1972 0:00,"$21,427,700,000,000.00",78.5,36.6
153,11300,Finance & Investments,Israel Englander,74,United States,Hedge funds,Finance & Investments,D,M,9/30/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
153,11300,Manufacturing,Viatcheslav Kantor,69,Israel,"Fertilizer, real estate",Manufacturing,U,M,9/8/1953 0:00,"$395,098,666,122.00",82.8,25.3
153,11300,Manufacturing,Anthony Pratt,62,Australia,Manufacturing,Manufacturing,D,M,4/11/1960 0:00,"$1,392,680,589,329.00",82.7,47.4
153,11300,Finance & Investments,Mikhail Prokhorov,57,Switzerland,Investments,Finance & Investments,U,M,5/3/1965 0:00,"$703,082,435,360.00",83.6,28.8
157,11100,Fashion & Retail,Giorgio Armani,88,Italy,Luxury goods,Fashion & Retail,U,M,7/11/1934 0:00,"$2,001,244,392,042.00",82.9,59.1
157,11100,Fashion & Retail,Johann Rupert & family,72,South Africa,Luxury goods,Fashion & Retail,U,M,6/1/1950 0:00,"$351,431,649,241.00",63.9,29.2
159,11000,Finance & Investments,Gong Hongjia & family,58,Hong Kong,Video surveillance,Finance & Investments,D,M,1/1/1965 0:00,,,
159,11000,Technology,Zhang Zhidong,51,China,Internet media,Technology,D,M,1/1/1972 0:00,"$19,910,000,000,000.00",77,59.2
161,10900,Finance & Investments,Philip Anschutz,83,United States,"Energy, sports, entertainment",Finance & Investments,E,M,12/28/1939 0:00,"$21,427,700,000,000.00",78.5,36.6
161,10900,Fashion & Retail,Judy Love & family,85,United States,Gas stations,Fashion & Retail,U,F,6/17/1937 0:00,"$21,427,700,000,000.00",78.5,36.6
161,10900,Fashion & Retail,Ricardo Salinas Pliego & family,67,Mexico,"Retail, media",Fashion & Retail,D,M,10/19/1955 0:00,"$1,258,286,717,125.00",75,55.1
164,10700,Media & Entertainment,Donald Newhouse,93,United States,Media,Media & Entertainment,D,M,8/5/1929 0:00,"$21,427,700,000,000.00",78.5,36.6
165,10600,Sports,Robert Kraft,81,United States,"Manufacturing, New England Patriots",Sports,U,M,6/5/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
165,10600,Food & Beverage,Marcel Herrmann Telles,73,Brazil,Beer,Food & Beverage,U,M,1/1/1950 0:00,"$1,839,758,040,766.00",75.7,65.1
167,10500,Finance & Investments,Suleiman Kerimov & family,57,Russia,Gold,Finance & Investments,U,M,3/12/1966 0:00,"$1,699,876,578,871.00",72.7,46.2
167,10500,Fashion & Retail,Sky Xu,39,China,E-commerce,Fashion & Retail,U,M,1/1/1984 0:00,"$19,910,000,000,000.00",77,59.2
167,10500,Finance & Investments,Changpeng Zhao,45,United Arab Emirates,Cryptocurrency exchange,Finance & Investments,D,M,9/10/1977 0:00,"$421,142,267,938.00",77.8,15.9
170,10300,Finance & Investments,Andrew Beal,70,United States,"Banks, real estate",Finance & Investments,U,M,11/29/1952 0:00,"$21,427,700,000,000.00",78.5,36.6
171,10200,Technology,Mike Cannon-Brookes,43,Australia,Software,Technology,D,M,11/17/1979 0:00,"$1,392,680,589,329.00",82.7,47.4
171,10200,Healthcare,Carl Cook,60,United States,Medical devices,Healthcare,D,M,8/19/1962 0:00,"$21,427,700,000,000.00",78.5,36.6
171,10200,Technology,David Duffield,82,United States,Business software,Technology,D,M,9/21/1940 0:00,"$21,427,700,000,000.00",78.5,36.6
171,10200,Energy,Jeffery Hildebrand,64,United States,Oil,Energy,U,M,3/5/1959 0:00,"$21,427,700,000,000.00",78.5,36.6
171,10200,Manufacturing,Viktor Rashnikov,74,Russia,Steel,Manufacturing,U,M,10/13/1948 0:00,"$1,699,876,578,871.00",72.7,46.2
171,10200,Technology,Eduardo Saverin,41,Singapore,Facebook,Technology,D,M,3/19/1982 0:00,"$372,062,527,489.00",83.1,21
171,10200,Automotive,Georg Schaeffler,58,Germany,Auto parts,Automotive,U,M,10/19/1964 0:00,"$3,845,630,030,824.00",80.9,48.8
171,10200,Fashion & Retail,Christy Walton,74,United States,Walmart,Fashion & Retail,U,F,2/8/1949 0:00,"$21,427,700,000,000.00",78.5,36.6
179,10100,Technology,Scott Farquhar,43,Australia,Software,Technology,D,M,12/17/1979 0:00,"$1,392,680,589,329.00",82.7,47.4
179,10100,Diversified,Quek Leng Chan,81,Malaysia,"Banking, property",Diversified,D,M,8/12/1941 0:00,"$364,701,517,788.00",76,38.7
179,10100,Real Estate,Wu Yajun,59,China,Real estate,Real Estate,D,F,1/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
182,10000,Energy,Autry Stephens,85,United States,Oil,Energy,U,M,3/8/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
183,9900,Service,Liu Yongxing,74,China,Diversified,Service,D,M,6/1/1948 0:00,"$19,910,000,000,000.00",77,59.2
