finalWorth,personName,age,country,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country,economic_class,education,region
1400,Ayman Hariri,44.0,France,Construction & Engineering,E,M,1978-05-16 00:00:00,2715518274227.0,82.5,60.7,1,3,Europe
1300,Yves-Loic Martin,57.0,France,Healthcare,D,M,1966-01-01 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
1000,Edouard Carmignac,75.0,France,Finance & Investments,D,M,1947-09-04 00:00:00,2715518274227.0,82.5,60.7,1,,Europe
180000,Elon Musk,51.0,United States,Automotive,D,M,1971-06-28 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
114000,Jeff Bezos,59.0,United States,Technology,D,M,1964-01-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
107000,Larry Ellison,78.0,United States,Technology,U,M,1944-08-17 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
106000,Warren Buffett,92.0,United States,Finance & Investments,D,M,1930-08-30 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
104000,Bill Gates,67.0,United States,Technology,D,M,1955-10-28 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
94500,Michael Bloomberg,81.0,United States,Media & Entertainment,U,M,1942-02-14 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
80700,Steve Ballmer,67.0,United States,Technology,D,M,1956-03-24 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
79200,Larry Page,50.0,United States,Technology,D,M,1973-03-26 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
76000,Sergey Brin,49.0,United States,Technology,D,M,1973-08-21 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
64400,Mark Zuckerberg,38.0,United States,Technology,D,M,1984-05-14 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
59000,Charles Koch & family,87.0,United States,Diversified,D,M,1935-11-01 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
59000,Julia Koch & family,60.0,United States,Diversified,D,F,1962-04-12 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
58800,Jim Walton,74.0,United States,Fashion & Retail,D,M,1948-06-07 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
57600,Rob Walton & family,78.0,United States,Fashion & Retail,D,M,1944-10-27 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
56700,Alice Walton,73.0,United States,Fashion & Retail,D,F,1949-10-07 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
50100,Michael Dell,58.0,United States,Technology,D,M,1965-02-23 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
45100,Phil Knight & family,85.0,United States,Fashion & Retail,D,M,1938-02-24 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
38300,Jacqueline Mars,83.0,United States,Food & Beverage,U,F,1939-10-10 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
38300,John Mars,87.0,United States,Food & Beverage,U,M,1935-10-15 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
35000,Miriam Adelson & family,77.0,United States,Gambling & Casinos,U,F,1945-10-10 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
35000,Ken Griffin,54.0,United States,Finance & Investments,U,M,1968-10-15 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
31600,Alain Wertheimer,74.0,United States,Fashion & Retail,U,M,1948-08-28 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
31600,Gerard Wertheimer,72.0,United States,Fashion & Retail,U,M,1951-01-09 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
28500,Jeff Yass,64.0,United States,Finance & Investments,U,M,1958-07-17 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
28100,Jim Simons,84.0,United States,Finance & Investments,D,M,1938-04-25 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
27800,Stephen Schwarzman,76.0,United States,Finance & Investments,D,M,1947-02-14 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
25300,Thomas Peterffy,78.0,United States,Finance & Investments,U,M,1944-09-30 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
24400,MacKenzie Scott,52.0,United States,Technology,D,F,1970-04-07 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
21600,Abigail Johnson,61.0,United States,Finance & Investments,U,F,1961-12-19 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
21200,Lukas Walton,36.0,United States,Fashion & Retail,U,M,1986-09-19 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
21100,Jensen Huang,60.0,United States,Technology,U,M,1963-02-17 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
21000,Leonard Lauder,90.0,United States,Fashion & Retail,D,M,1933-03-19 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
20200,"Thomas Frist, Jr. & family",84.0,United States,Healthcare,D,M,1938-08-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
19100,Ray Dalio,73.0,United States,Finance & Investments,D,M,1949-08-08 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
18500,Harold Hamm & family,77.0,United States,Energy,U,M,1945-12-11 00:00:00,21427700000000.0,78.5,36.6,1,1,Americas
18500,David Tepper,65.0,United States,Finance & Investments,U,M,1957-09-11 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
18000,Daniel Gilbert,61.0,United States,Finance & Investments,D,M,1962-01-17 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
17500,Steve Cohen,66.0,United States,Finance & Investments,U,M,1956-06-11 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
17500,Carl Icahn,87.0,United States,Finance & Investments,U,M,1936-02-16 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
17400,Donald Bren,90.0,United States,Real Estate,U,M,1932-05-11 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
17400,"John Menard, Jr.",83.0,United States,Fashion & Retail,U,M,1940-01-22 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
17100,Rupert Murdoch & family,92.0,United States,Media & Entertainment,D,M,1931-03-11 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
16200,Eric Schmidt,67.0,United States,Technology,D,M,1955-04-27 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
15500,Robert Pera,45.0,United States,Technology,U,M,1978-03-10 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
14900,David Green & family,81.0,United States,Fashion & Retail,U,M,1941-11-13 00:00:00,21427700000000.0,78.5,36.6,1,1,Americas
13700,Diane Hendricks,76.0,United States,Construction & Engineering,U,F,1947-03-02 00:00:00,21427700000000.0,78.5,36.6,1,1,Americas
13700,Jan Koum,47.0,United States,Technology,U,M,1976-02-24 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
13300,Jerry Jones,80.0,United States,Sports,U,M,1942-10-13 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
13300,George Kaiser,80.0,United States,Energy,U,M,1942-07-29 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
12900,Stanley Kroenke,75.0,United States,Sports,U,M,1947-07-29 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
12100,Shahid Khan,72.0,United States,Automotive,U,M,1950-07-18 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
12000,Laurene Powell Jobs & family,59.0,United States,Technology,D,F,1963-11-06 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
11600,Stephen Ross,82.0,United States,Real Estate,U,M,1940-05-10 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
11400,Michael Rubin,50.0,United States,Fashion & Retail,U,M,1972-07-21 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
11300,Israel Englander,74.0,United States,Finance & Investments,D,M,1948-09-30 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
10900,Philip Anschutz,83.0,United States,Finance & Investments,E,M,1939-12-28 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
10900,Judy Love & family,85.0,United States,Fashion & Retail,U,F,1937-06-17 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
10700,Donald Newhouse,93.0,United States,Media & Entertainment,D,M,1929-08-05 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
10600,Robert Kraft,81.0,United States,Sports,U,M,1941-06-05 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
10300,Andrew Beal,70.0,United States,Finance & Investments,U,M,1952-11-29 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
10200,Carl Cook,60.0,United States,Healthcare,D,M,1962-08-19 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
10200,David Duffield,82.0,United States,Technology,D,M,1940-09-21 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
10200,Jeffery Hildebrand,64.0,United States,Energy,U,M,1959-03-05 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
10200,Christy Walton,74.0,United States,Fashion & Retail,U,F,1949-02-08 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
10000,Autry Stephens,85.0,United States,Energy,U,M,1938-03-08 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
9600,Rick Cohen & family,70.0,United States,Technology,N,M,1952-07-25 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
9600,Marijke Mars,58.0,United States,Food & Beverage,U,F,1964-07-28 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
9600,Pamela Mars,62.0,United States,Food & Beverage,U,F,1960-08-01 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
9600,Valerie Mars,64.0,United States,Food & Beverage,U,F,1959-01-26 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
9600,Victoria Mars,66.0,United States,Food & Beverage,U,F,1956-12-15 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
9300,Brian Chesky,41.0,United States,Technology,D,M,1981-08-29 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
9200,John Malone,82.0,United States,Media & Entertainment,U,M,1941-03-07 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
9200,Charles Schwab,85.0,United States,Finance & Investments,D,M,1937-07-29 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
9200,Eric Smidt,63.0,United States,Fashion & Retail,U,M,1960-01-01 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
9000,David Cheriton,72.0,United States,Technology,D,M,1951-03-29 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8800,John Doerr,71.0,United States,Technology,D,M,1951-06-29 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
8800,Dustin Moskovitz,38.0,United States,Technology,D,M,1984-05-22 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
8800,Pierre Omidyar,55.0,United States,Technology,D,M,1967-06-21 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8600,Leon Black,71.0,United States,Finance & Investments,D,M,1951-07-31 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8600,Andreas von Bechtolsheim & family,67.0,United States,Technology,D,M,1955-09-30 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
8500,"Chase Coleman, III.",47.0,United States,Finance & Investments,D,M,1975-06-21 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8500,Ann Walton Kroenke,74.0,United States,Fashion & Retail,D,F,1948-12-18 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8400,Jim Kennedy,75.0,United States,Media & Entertainment,U,M,1947-11-29 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8300,John Morris,75.0,United States,Fashion & Retail,U,M,1948-03-19 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8200,George Roberts,79.0,United States,Finance & Investments,U,M,1943-09-14 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8100,Tilman Fertitta,65.0,United States,Food & Beverage,U,M,1957-06-25 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
8000,Nathan Blecharczyk,39.0,United States,Technology,D,M,1983-06-11 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8000,Bernard Marcus,93.0,United States,Fashion & Retail,D,M,1929-05-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8000,Patrick Ryan,85.0,United States,Finance & Investments,E,M,1937-05-15 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
8000,Robert F. Smith,60.0,United States,Finance & Investments,U,M,1962-12-01 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
7900,Orlando Bravo,52.0,United States,Finance & Investments,U,M,1970-09-23 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7900,Nancy Walton Laurie,71.0,United States,Fashion & Retail,D,F,1951-05-15 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7900,Ramzi Musallam,54.0,United States,Finance & Investments,U,M,1968-09-17 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
7900,David Shaw,72.0,United States,Finance & Investments,U,M,1951-03-29 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
7800,Rocco Commisso,73.0,United States,Telecom,U,M,1949-11-25 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7700,David Geffen,80.0,United States,Media & Entertainment,D,M,1943-02-21 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
7700,Henry Samueli,68.0,United States,Technology,U,M,1954-09-20 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7700,Reinhold Schmieding,68.0,United States,Healthcare,U,M,1955-01-03 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7600,Joe Gebbia,41.0,United States,Technology,D,M,1981-08-21 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7600,Leonard Stern,85.0,United States,Real Estate,U,M,1938-03-28 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
7500,Arthur Blank,80.0,United States,Sports,U,M,1942-09-27 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7500,Charles Butt,85.0,United States,Fashion & Retail,R,M,1938-02-03 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
7500,"Paul Tudor Jones, II.",68.0,United States,Finance & Investments,U,M,1954-09-28 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7500,Henry Kravis,79.0,United States,Finance & Investments,D,M,1944-01-06 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7400,James Goodnight,80.0,United States,Technology,U,M,1943-01-06 04:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7400,Steven Rales,72.0,United States,Manufacturing,D,M,1951-03-31 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
7400,Harry Stine,81.0,United States,Food & Beverage,U,M,1941-11-30 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
7200,Arthur Dantchik,65.0,United States,Finance & Investments,N,M,1957-11-25 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
7200,Jeff Greene,68.0,United States,Real Estate,U,M,1954-12-10 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
7200,Don Hankey,79.0,United States,Finance & Investments,U,M,1943-06-13 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7200,Richard Kinder,78.0,United States,Energy,D,M,1944-10-19 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7100,Judy Faulkner,79.0,United States,Technology,U,F,1943-08-01 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7100,Tamara Gustavson,61.0,United States,Service,D,F,1961-11-16 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7000,Marc Benioff,58.0,United States,Technology,D,M,1964-09-25 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7000,Jack Dangermond,77.0,United States,Technology,U,M,1945-07-23 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7000,Ralph Lauren,83.0,United States,Fashion & Retail,U,M,1939-10-14 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
7000,J. Christopher Reyes,69.0,United States,Food & Beverage,D,M,1953-12-29 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7000,Jude Reyes,67.0,United States,Food & Beverage,D,M,1955-09-16 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
7000,Don Vultaggio & family,71.0,United States,Food & Beverage,U,M,1952-02-26 00:00:00,21427700000000.0,78.5,36.6,1,1,Americas
6900,Edythe Broad & family,87.0,United States,Diversified,E,F,1936-01-01 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6900,Pauline MacMillan Keinath,89.0,United States,Food & Beverage,D,F,1934-01-01 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6900,Philippe Laffont,55.0,United States,Finance & Investments,U,M,1967-09-16 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
6900,Igor Olenicoff,80.0,United States,Real Estate,U,M,1942-09-20 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6900,Ronda Stryker,68.0,United States,Healthcare,U,F,1954-05-01 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6800,Dannine Avara,59.0,United States,Energy,U,F,1964-03-09 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6800,Scott Duncan,40.0,United States,Energy,U,M,1982-11-01 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6800,Milane Frantz,53.0,United States,Energy,U,F,1969-08-12 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
6800,"Edward Johnson, IV.",58.0,United States,Finance & Investments,U,M,1964-11-18 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6800,Yuri Milner,61.0,United States,Finance & Investments,D,M,1961-11-11 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6800,Gordon Moore,94.0,United States,Technology,D,M,1929-01-03 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
6800,John Overdeck,53.0,United States,Finance & Investments,U,M,1969-12-21 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6800,David Siegel,61.0,United States,Finance & Investments,U,M,1961-07-15 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
6800,Randa Duncan Williams,61.0,United States,Energy,U,F,1961-08-28 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,Ken Fisher,72.0,United States,Finance & Investments,U,M,1950-11-29 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,Terrence Pegula,72.0,United States,Energy,U,M,1951-03-27 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,"Edward Roski, Jr.",84.0,United States,Real Estate,U,M,1938-12-25 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,John A. Sobrato & family,83.0,United States,Real Estate,U,M,1939-05-23 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,George Soros,92.0,United States,Finance & Investments,D,M,1930-08-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,David Sun,71.0,United States,Technology,U,M,1951-10-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6700,John Tu,81.0,United States,Technology,U,M,1941-08-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6600,Bubba Cathy,68.0,United States,Food & Beverage,U,M,1954-04-22 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6600,Dan Cathy,70.0,United States,Food & Beverage,U,M,1953-03-01 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6600,Trudy Cathy White,67.0,United States,Food & Beverage,U,F,1955-12-17 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6600,Bruce Kovner,78.0,United States,Finance & Investments,U,M,1945-02-25 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6600,"Henry Nicholas, III.",63.0,United States,Technology,U,M,1959-10-08 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6500,David Bonderman,80.0,United States,Finance & Investments,U,M,1942-11-27 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
6500,Melinda French Gates,58.0,United States,Technology,U,F,1964-08-15 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6500,Annette Lerner & family,93.0,United States,Real Estate,N,F,1930-02-27 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6400,Stephen Bisciotti,62.0,United States,Sports,U,M,1960-04-10 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6400,Stanley Druckenmiller,69.0,United States,Finance & Investments,D,M,1953-06-14 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6400,Dennis Washington,88.0,United States,Logistics,D,M,1934-07-27 00:00:00,21427700000000.0,78.5,36.6,1,1,Americas
6100,Tom Gores,58.0,United States,Finance & Investments,U,M,1964-07-31 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6000,Neil Bluhm,85.0,United States,Real Estate,U,M,1938-01-12 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
6000,Jay Chaudhry,63.0,United States,Technology,D,M,1959-08-26 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
6000,Michael Milken,76.0,United States,Finance & Investments,U,M,1946-07-04 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6000,David Steward,71.0,United States,Technology,U,M,1951-07-02 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
6000,Les Wexner & family,85.0,United States,Fashion & Retail,U,M,1937-09-08 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5900,Andreas Halvorsen,61.0,United States,Finance & Investments,D,M,1961-04-23 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
5900,Antony Ressler,62.0,United States,Finance & Investments,U,M,1960-10-12 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
5800,Josh Harris,58.0,United States,Finance & Investments,E,M,1964-12-29 00:00:00,21427700000000.0,78.5,36.6,1,,Americas
5800,Patrick Soon-Shiong,70.0,United States,Healthcare,D,M,1952-07-29 00:00:00,21427700000000.0,78.5,36.6,1,4,Americas
5700,John Brown,88.0,United States,Healthcare,U,M,1934-09-15 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5700,Daniel Ziff,51.0,United States,Finance & Investments,U,M,1971-11-02 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5700,Dirk Ziff,59.0,United States,Finance & Investments,U,M,1964-04-01 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5700,Robert Ziff,56.0,United States,Finance & Investments,U,M,1966-08-12 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
5600,Ray Lee Hunt,79.0,United States,Energy,D,M,1943-04-06 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5600,Ken Langone,87.0,United States,Finance & Investments,D,M,1935-09-16 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5600,Karen Pritzker,65.0,United States,Finance & Investments,D,F,1958-01-07 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5600,Robert Rowling,69.0,United States,Service,U,M,1953-09-26 00:00:00,21427700000000.0,78.5,36.6,1,5,Americas
5500,Micky Arison,73.0,United States,Service,D,M,1949-06-29 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
5500,James Chambers,65.0,United States,Media & Entertainment,U,M,1957-04-12 00:00:00,21427700000000.0,78.5,36.6,1,3,Americas
5500,John Collison,32.0,United States,Technology,D,M,1990-08-06 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
5500,Patrick Collison,34.0,United States,Technology,D,M,1988-09-09 00:00:00,21427700000000.0,78.5,36.6,1,2,Americas
5500,Archie Aldis Emmerson & family,93.0,United States,Manufacturing,U,M,1929-04-10 00:00:00,21427700000000.0,78.5,36.6,1,1,Americas
